product_id,total_sold
40,48
17,45
98,45
5,44
62,44
51,43
38,41
47,40
49,38
25,37
6,36
26,36
59,36
87,35
29,35
88,35
57,35
97,34
79,34
14,34
99,34
1,33
72,33
63,32
3,31
92,31
37,31
12,30
55,30
56,30
70,30
85,29
54,29
4,29
23,29
68,29
73,28
74,27
11,27
86,26
94,26
67,26
90,26
66,25
30,25
82,25
33,25
32,24
15,24
45,24
18,24
81,23
9,23
78,23
39,23
61,22
77,22
89,22
42,22
53,22
10,22
8,22
27,22
52,21
13,21
34,21
36,21
64,20
50,20
93,19
19,19
84,19
2,19
24,19
69,19
65,18
48,18
41,18
21,17
83,17
16,17
95,17
31,17
60,17
96,16
35,16
46,15
7,15
20,15
71,15
75,13
43,13
22,13
80,12
91,11
44,11
76,10
28,9
58,5
